CÓDIGO DE CENTRO;CUANTÍA DE LAS BECAS
28000406;3000
28000406;3000
28000406;3000
28000406;3000
28000406;3000
28000479;3000
28000479;3000
28000479;3000
28000479;3000
28000479;3000
28000479;3000
28000479;3000
28000479;3000
28000479;3000
28000479;3000
28000479;3000
28000492;3000
28000492;3000
28000492;3000
28000492;3000
28000492;3000
28000492;3000
28000901;3000
28000901;3000
28000901;3000
28000901;3000
28000901;3000
28000901;3000
28001010;3000
28001010;3000
28001010;3000
28001010;3000
28001010;3000
28001010;3000
28001010;3000
28001010;3000
28001010;3000
28001010;3000
28001010;3000
28001010;3000
28001010;3000
28001010;3000
28001010;3000
28001010;3000
28001034;3000
28001034;3000
28001034;3000
28001034;3000
28001034;3000
28001034;3000
28001034;3000
28001034;3000
28001034;3000
28001034;3000
28001046;2517
28001046;2517,5
28001046;2782,5
28001046;2782,5
28001046;2782,5
28001046;2782,5
28001046;2782,5
28001046;2782,5
28001046;2782,5
28001046;2782,5
28001046;2782,5
28001563;3000
28001563;3000
28001563;3000
28001563;3000
28001563;3000
28001563;3000
28001563;3000
28001563;3000
28001563;3000
28001563;3000
28001851;3000
28003250;2796
28003250;2796
28003250;2796
28003250;2796
28003250;2796
28003250;2796
28003250;2796
28003250;2796
28003250;2796
28003250;2796
28003250;2796
28003250;2796
28003250;2796
28003250;2796
28003250;2796
28003250;2796
28003250;2796
28003250;2796
28003250;2796
28003250;2796
28003250;2796
28003250;2796
28003250;2796
28003250;2796
28003250;2796
28003250;2796
28003250;2796
28003250;2796
28003250;2796
28003262;2610
28003262;2610
28003262;2800
28003262;2800
28003262;2800
28003262;2800
28003262;2800
28003262;2800
28003262;2800
28003262;2800
28003262;2800
28003262;2800
28003262;2800
28003262;2800
28003262;2800
28003262;2800
28003262;2800
28003262;2800
28003262;2800
28003262;2800
28003262;2800
28003262;2800
28003262;2800
28003262;2800
28003262;2800
28003419;3000
28003419;3000
28003419;3000
28003419;3000
28003419;3000
28003419;3000
28003419;3000
28003419;3000
28003419;3000
28003419;3000
28003419;3000
28003419;3000
28003419;3000
28003419;3000
28003419;3000
28003419;3000
28003419;3000
28003419;3000
28003419;3000
28003419;3000
28003675;3000
28003675;3000
28003675;3000
28003675;3000
28003675;3000
28003675;3000
28003675;3000
28003675;3000
28003675;3000
28003675;3000
28003675;3000
28003675;3000
28003675;3000
28003675;3000
28003675;3000
28003675;3000
28003675;3000
28003675;3000
28007103;3000
28007103;3000
28007103;3000
28007103;3000
28007103;3000
28007103;3000
28007103;3000
28007103;3000
28007103;3000
28007127;3000
28007127;3000
28007127;3000
28007127;3000
28007127;3000
28007139;3000
28007139;3000
28007139;3000
28007139;3000
28007139;3000
28007139;3000
28007139;3000
28007139;3000
28007191;3000
28007191;3000
28007191;3000
28007191;3000
28007191;3000
28007191;3000
28007191;3000
28007191;3000
28007191;3000
28007191;3000
28007191;3000
28007191;3000
28007191;3000
28007191;3000
28007191;3000
28007191;3000
28007191;3000
28007191;3000
28007395;3000
28007395;3000
28007395;3000
28007395;3000
28007395;3000
28007395;408,62
28007395;408,62
28007826;3000
28007826;3000
28007917;2402,3
28007917;2404,3
28007917;2404,3
28007917;2404,3
28007917;2404,3
28007917;2404,3
28007917;2404,3
28007917;2404,3
28007917;2404,3
28007917;2404,3
28007917;2404,3
28007917;2404,3
28007917;2404,3
28007917;2404,3
28007917;2404,3
28007917;2404,3
28007917;2404,3
28007917;3000
28007991;3000
28007991;3000
28007991;3000
28007991;3000
28008107;3000
28008107;3000
28008107;3000
28008107;3000
28008107;3000
28008107;3000
28008107;3000
28008107;3000
28008223;2960
28008223;2960
28008405;3000
28008405;3000
28008405;3000
28008405;3000
28008405;3000
28008405;3000
28008405;3000
28008405;3000
28008405;3000
28008405;3000
28008405;3000
28008405;3000
28008511;3000
28008511;3000
28008511;3000
28008511;3000
28008511;3000
28008511;3000
28008511;3000
28008511;3000
28008511;3000
28008703;3000
28008703;3000
28008703;3000
28008703;3000
28008703;3000
28008703;3000
28008703;3000
28008703;3000
28008703;3000
28008703;3000
28008703;3000
28008703;3000
28008703;3000
28008703;3000
28009033;3000
28009033;3000
28009033;3000
28009033;3000
28009033;3000
28009033;3000
28009033;3000
28009033;3000
28009033;3000
28009033;3000
28009033;3000
28009033;3000
28009033;3000
28009033;3000
28009033;3000
28009033;3000
28009033;3000
28009033;3000
28009291;2720
28009291;3000
28009291;3000
28009291;3000
28009291;3000
28009291;3000
28009291;3000
28009291;3000
28009291;3000
28009291;3000
28009291;3000
28009291;3000
28009291;3000
28009291;3000
28009291;3000
28009291;3000
28009291;3000
28009291;3000
28009291;3000
28009446;3000
28009446;3000
28009446;3000
28009446;3000
28009446;3000
28009446;3000
28009446;3000
28009446;3000
28009446;3000
28009446;3000
28009446;3000
28009446;3000
28009446;3000
28009446;3000
28009446;3000
28009446;3000
28009446;3000
28009446;3000
28009446;3000
28009446;3000
28009446;3000
28009446;3000
28009446;3000
28009446;3000
28009525;3000
28009525;3000
28009525;3000
28009525;3000
28009525;3000
28009525;3000
28009525;3000
28009525;3000
28009549;2871
28009549;3000
28009549;3000
28009549;3000
28009549;3000
28009549;3000
28009549;3000
28009549;3000
28009641;3000
28009641;3000
28009641;3000
28009793;3000
28009793;3000
28009793;3000
28009793;3000
28009793;3000
28011490;2830
28011490;2830
28011490;2830
28011544;3000
28011544;3000
28011544;3000
28011635;3000
28011635;3000
28011635;3000
28011635;3000
28011635;3000
28011635;3000
28011635;3000
28011647;2975
28011647;2975
28011647;2975
28011647;2975
28011647;2975
28011647;2975
28011647;2975
28011647;2975
28011647;2975
28011647;2975
28011647;2975
28011647;2975
28011647;2975
28011726;3000
28011726;3000
28011726;3000
28011726;3000
28011911;3000
28011911;3000
28011911;3000
28011911;3000
28011911;3000
28011911;3000
28011911;3000
28011911;3000
28011911;3000
28011911;3000
28011911;3000
28011911;3000
28011911;3000
28011911;3000
28011911;3000
28011911;3000
28011945;3000
28011945;3000
28011945;3000
28011945;3000
28012032;3000
28012354;3000
28012354;3000
28012354;3000
28012640;2845
28012640;2845
28012640;2845
28012640;2845
28012640;2845
28012640;2845
28012640;2845
28012640;2845
28012640;2845
28012640;2845
28012640;2845
28012640;2845
28012640;2845
28012640;2845
28012640;2845
28012640;2845
28012640;2845
28012640;2845
28012640;2845
28012640;2845
28012640;2845
28012640;2845
28012640;2845
28012640;2845
28012640;2845
28012640;2845
28012640;2845
28012640;2845
28012640;2845
28012640;2845
28012640;2845
28012767;3000
28012767;3000
28012767;3000
28012767;3000
28012767;3000
28012767;3000
28012767;3000
28012901;3000
28012901;3000
28012901;3000
28012901;3000
28012949;2329
28012949;2329
28012949;2329
28012949;2329
28012949;2329
28012949;2329
28012949;2329
28012949;2329
28012949;2329
28012949;2329
28013036;2701
28013036;2701
28013036;2701
28013036;2701
28013036;2701
28013036;2701
28013036;2701
28013036;2701
28013036;2701
28013036;2701
28013036;2701
28013036;2701
28013036;2701
28013036;2701
28013051;3000
28013051;3000
28013051;3000
28013103;3000
28013103;3000
28013103;3000
28013103;3000
28013103;3000
28013103;3000
28013103;3000
28013103;3000
28013103;3000
28013103;3000
28013103;3000
28013103;3000
28013103;3000
28013103;3000
28013103;3000
28013103;3000
28013103;3000
28013103;3000
28013255;3000
28013255;3000
28013255;3000
28013255;3000
28013280;2880
28013280;2880
28013280;2880
28013280;2880
28013280;2880
